date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:02:30	295/295	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Jul%202023%2015:02:30%20GMT	http://localhost/robots.txt		(from )
23:02:31	87092/87092	---MC-	200	added ('OK')	text/html	date:Sat,%2029%20Jul%202023%2015:02:31%20GMT	http://localhost/joomla_music/	C:/httrack/music/localhost/joomla_music/index.html	(from )
23:02:31	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2247e-601789d522766%22	http://localhost/joomla_music/templates/shaper_helixultimate/images/favicon.ico	C:/httrack/music/localhost/joomla_music/templates/shaper_helixultimate/images/favicon.ico	(from http://localhost/joomla_music/)
23:02:32	3964/3964	---M--	200	added ('OK')	text/css	etag:%22f7c-5fa859120e600%22	http://localhost/joomla_music/media/vendor/joomla-custom-elements/css/joomla-alert.min.css?0.2.0	C:/httrack/music/localhost/joomla_music/media/vendor/joomla-custom-elements/css/joomla-alert.min44b7.css	(from http://localhost/joomla_music/)
23:02:32	58223/58223	---M--	200	added ('OK')	text/css	etag:%22e36f-6017ab8cb6d95%22	http://localhost/joomla_music/components/com_sppagebuilder/assets/css/font-awesome-5.min.css?8f88f7e2753008a72f898a5354fb617a	C:/httrack/music/localhost/joomla_music/components/com_sppagebuilder/assets/css/font-awesome-5.min485a.css	(from http://localhost/joomla_music/)
23:02:33	26701/26701	---M--	200	added ('OK')	text/css	etag:%22684d-6017ab8cb717d%22	http://localhost/joomla_music/components/com_sppagebuilder/assets/css/font-awesome-v4-shims.css?8f88f7e2753008a72f898a5354fb617a	C:/httrack/music/localhost/joomla_music/components/com_sppagebuilder/assets/css/font-awesome-v4-shims485a.css	(from http://localhost/joomla_music/)
23:02:34	70892/70892	---M--	200	added ('OK')	text/css	etag:%22114ec-6017ab8cb4e53%22	http://localhost/joomla_music/components/com_sppagebuilder/assets/css/animate.min.css?8f88f7e2753008a72f898a5354fb617a	C:/httrack/music/localhost/joomla_music/components/com_sppagebuilder/assets/css/animate.min485a.css	(from http://localhost/joomla_music/)
23:02:35	181165/181165	---M--	200	added ('OK')	text/css	etag:%222c3ad-6017ab8cba831%22	http://localhost/joomla_music/components/com_sppagebuilder/assets/css/sppagebuilder.css?8f88f7e2753008a72f898a5354fb617a	C:/httrack/music/localhost/joomla_music/components/com_sppagebuilder/assets/css/sppagebuilder485a.css	(from http://localhost/joomla_music/)
23:02:37	5920/5920	---M--	200	added ('OK')	text/css	etag:%221720-6017ab8cb8cd7%22	http://localhost/joomla_music/components/com_sppagebuilder/assets/css/magnific-popup.css	C:/httrack/music/localhost/joomla_music/components/com_sppagebuilder/assets/css/magnific-popup.css	(from http://localhost/joomla_music/)
23:02:37	194854/194854	---M--	200	added ('OK')	text/css	etag:%222f926-601789d47b0bb%22	http://localhost/joomla_music/templates/shaper_helixultimate/css/bootstrap.min.css	C:/httrack/music/localhost/joomla_music/templates/shaper_helixultimate/css/bootstrap.min.css	(from http://localhost/joomla_music/)
23:02:39	5202/5202	---M--	200	added ('OK')	text/css	etag:%221452-601789d274ea7%22	http://localhost/joomla_music/plugins/system/helixultimate/assets/css/system-j4.min.css	C:/httrack/music/localhost/joomla_music/plugins/system/helixultimate/assets/css/system-j4.min.css	(from http://localhost/joomla_music/)
23:02:39	75886/75886	---M--	200	added ('OK')	text/css	etag:%221286e-5fa8592521300%22	http://localhost/joomla_music/media/system/css/joomla-fontawesome.min.css?ec6e08a612ed34b52860abc6c8559a0d	C:/httrack/music/localhost/joomla_music/media/system/css/joomla-fontawesome.min0291.css	(from http://localhost/joomla_music/)
23:02:41	78259/78259	---M--	200	added ('OK')	text/css	etag:%22131b3-601a0a9860bba%22	http://localhost/joomla_music/templates/shaper_helixultimate/css/template.css	C:/httrack/music/localhost/joomla_music/templates/shaper_helixultimate/css/template.css	(from http://localhost/joomla_music/)
23:02:43	4022/4022	---M--	200	added ('OK')	text/css	etag:%22fb6-601a0a98646f8%22	http://localhost/joomla_music/templates/shaper_helixultimate/css/presets/default.css	C:/httrack/music/localhost/joomla_music/templates/shaper_helixultimate/css/presets/default.css	(from http://localhost/joomla_music/)
23:02:45	7706/7706	---M--	200	added ('OK')	application/javascript	etag:%221e1a-5fa8592eaa980%22	http://localhost/joomla_music/media/system/js/core.min.js?576eb51da909dcf692c98643faa6fc89629ead18	C:/httrack/music/localhost/joomla_music/media/system/js/core.min7335.js	(from http://localhost/joomla_music/)
23:02:45	3556/3556	---M--	200	added ('OK')	application/javascript	etag:%22de4-5fa8592cc2500%22	http://localhost/joomla_music/media/system/js/showon-es5.min.js?4773265a19291954f19755d6f2ade3ca7ed9022f	C:/httrack/music/localhost/joomla_music/media/system/js/showon-es5.min6186.js	(from http://localhost/joomla_music/)
23:02:45	26/26	---M--	200	added ('OK')	application/javascript	etag:%221a-5fa8592521300%22	http://localhost/joomla_music/media/legacy/js/jquery-noconflict.min.js?04499b98c0305b16b373dff09fe79d1290976288	C:/httrack/music/localhost/joomla_music/media/legacy/js/jquery-noconflict.minaad7.js	(from http://localhost/joomla_music/)
23:02:46	1271/1271	---M--	200	added ('OK')	application/javascript	etag:%224f7-5fa8593463700%22	http://localhost/joomla_music/media/vendor/bootstrap/js/alert.min.js?5.2.3	C:/httrack/music/localhost/joomla_music/media/vendor/bootstrap/js/alert.min79ff.js	(from http://localhost/joomla_music/)
23:02:47	1074/1074	---M--	200	added ('OK')	application/javascript	etag:%22432-5fa8593463700%22	http://localhost/joomla_music/media/vendor/bootstrap/js/button.min.js?5.2.3	C:/httrack/music/localhost/joomla_music/media/vendor/bootstrap/js/button.min79ff.js	(from http://localhost/joomla_music/)
23:02:47	8506/8506	---M--	200	added ('OK')	application/javascript	etag:%22213a-5fa8593092e00%22	http://localhost/joomla_music/media/system/js/messages-es5.min.js?44e3f60beada646706be6569e75b36f7cf293bf9	C:/httrack/music/localhost/joomla_music/media/system/js/messages-es5.minb614.js	(from http://localhost/joomla_music/)
23:02:48	5043/5043	---M--	200	added ('OK')	application/javascript	etag:%2213b3-5fa8593463700%22	http://localhost/joomla_music/media/vendor/bootstrap/js/collapse.min.js?5.2.3	C:/httrack/music/localhost/joomla_music/media/vendor/bootstrap/js/collapse.min79ff.js	(from http://localhost/joomla_music/)
23:02:49	7347/7347	---M--	200	added ('OK')	application/javascript	etag:%221cb3-5fa8593463700%22	http://localhost/joomla_music/media/vendor/bootstrap/js/carousel.min.js?5.2.3	C:/httrack/music/localhost/joomla_music/media/vendor/bootstrap/js/carousel.min79ff.js	(from http://localhost/joomla_music/)
23:02:49	4683/4683	---M--	200	added ('OK')	application/javascript	etag:%22124b-5fa8593463700%22	http://localhost/joomla_music/media/vendor/bootstrap/js/offcanvas.min.js?5.2.3	C:/httrack/music/localhost/joomla_music/media/vendor/bootstrap/js/offcanvas.min79ff.js	(from http://localhost/joomla_music/)
23:02:49	8167/8167	---M--	200	added ('OK')	application/javascript	etag:%221fe7-5fa8593463700%22	http://localhost/joomla_music/media/vendor/bootstrap/js/dropdown.min.js?5.2.3	C:/httrack/music/localhost/joomla_music/media/vendor/bootstrap/js/dropdown.min79ff.js	(from http://localhost/joomla_music/)
23:02:50	8431/8431	---M--	200	added ('OK')	application/javascript	etag:%2220ef-5fa8593463700%22	http://localhost/joomla_music/media/vendor/bootstrap/js/modal.min.js?5.2.3	C:/httrack/music/localhost/joomla_music/media/vendor/bootstrap/js/modal.min79ff.js	(from http://localhost/joomla_music/)
23:02:51	4970/4970	---M--	200	added ('OK')	application/javascript	etag:%22136a-5fa8593463700%22	http://localhost/joomla_music/media/vendor/bootstrap/js/scrollspy.min.js?5.2.3	C:/httrack/music/localhost/joomla_music/media/vendor/bootstrap/js/scrollspy.min79ff.js	(from http://localhost/joomla_music/)
23:02:51	3449/3449	---M--	200	added ('OK')	application/javascript	etag:%22d79-5fa8593463700%22	http://localhost/joomla_music/media/vendor/bootstrap/js/toast.min.js?5.2.3	C:/httrack/music/localhost/joomla_music/media/vendor/bootstrap/js/toast.min79ff.js	(from http://localhost/joomla_music/)
23:02:51	142/142	---M--	200	added ('OK')	application/javascript	etag:%228e-6017ab8ccc575%22	http://localhost/joomla_music/components/com_sppagebuilder/assets/js/common.js	C:/httrack/music/localhost/joomla_music/components/com_sppagebuilder/assets/js/common.js	(from http://localhost/joomla_music/)
23:02:51	3427/3427	---M--	200	added ('OK')	application/javascript	etag:%22d63-5fa8592709780%22	http://localhost/joomla_music/media/system/js/showon.min.js?bfc733e48a923aaffb3d959cd04f176bad7d7d52	C:/httrack/music/localhost/joomla_music/media/system/js/showon.min8e34.js	(from http://localhost/joomla_music/)
23:02:51	6063/6063	---M--	200	added ('OK')	application/javascript	etag:%2217af-5fa8593463700%22	http://localhost/joomla_music/media/vendor/bootstrap/js/tab.min.js?5.2.3	C:/httrack/music/localhost/joomla_music/media/vendor/bootstrap/js/tab.min79ff.js	(from http://localhost/joomla_music/)
23:02:51	898/898	---M--	200	added ('OK')	application/javascript	etag:%22382-6017ab8cd0620%22	http://localhost/joomla_music/components/com_sppagebuilder/assets/js/jquery.parallax.js?8f88f7e2753008a72f898a5354fb617a	C:/httrack/music/localhost/joomla_music/components/com_sppagebuilder/assets/js/jquery.parallax485a.js	(from http://localhost/joomla_music/)
23:02:52	12624/12624	---M--	200	added ('OK')	application/javascript	etag:%223150-5fa8593463700%22	http://localhost/joomla_music/media/vendor/bootstrap/js/popover.min.js?5.2.3	C:/httrack/music/localhost/joomla_music/media/vendor/bootstrap/js/popover.min79ff.js	(from http://localhost/joomla_music/)
23:02:52	5419/5419	---M--	200	added ('OK')	application/javascript	etag:%22152b-5fa8592eaa980%22	http://localhost/joomla_music/media/system/js/messages.min.js?7425e8d1cb9e4f061d5e30271d6d99b085344117	C:/httrack/music/localhost/joomla_music/media/system/js/messages.minae9f.js	(from http://localhost/joomla_music/)
23:02:52	1592/1592	---M--	200	added ('OK')	image/svg+xml	etag:%22638-601789d525653%22	http://localhost/joomla_music/templates/shaper_helixultimate/images/presets/preset2/logo.svg	C:/httrack/music/localhost/joomla_music/templates/shaper_helixultimate/images/presets/preset2/logo.svg	(from http://localhost/joomla_music/)
23:02:56	87101/87101	---MC-	200	added ('OK')	text/html	date:Sat,%2029%20Jul%202023%2015:02:53%20GMT	http://localhost/joomla_music/index.php	C:/httrack/music/localhost/joomla_music/index-2.html	(from http://localhost/joomla_music/)
23:02:56	9807/9807	---M--	200	added ('OK')	application/javascript	etag:%22264f-601789d52cb7d%22	http://localhost/joomla_music/templates/shaper_helixultimate/js/main.js	C:/httrack/music/localhost/joomla_music/templates/shaper_helixultimate/js/main.js	(from http://localhost/joomla_music/)
23:02:57	63146/63146	---MC-	200	added ('OK')	text/html	date:Sat,%2029%20Jul%202023%2015:02:57%20GMT	http://localhost/joomla_music/index.php/reading-materials	C:/httrack/music/localhost/joomla_music/index.php/reading-materials.html	(from http://localhost/joomla_music/)
23:02:58	9500/9500	---MC-	200	added ('OK')	text/html	date:Sat,%2029%20Jul%202023%2015:02:57%20GMT	http://localhost/joomla_music/index.php/vocabulary-test	C:/httrack/music/localhost/joomla_music/index.php/vocabulary-test.html	(from http://localhost/joomla_music/)
23:02:59	9479/9479	---MC-	200	added ('OK')	text/html	date:Sat,%2029%20Jul%202023%2015:02:58%20GMT	http://localhost/joomla_music/index.php/about-us	C:/httrack/music/localhost/joomla_music/index.php/about-us.html	(from http://localhost/joomla_music/)
23:02:59	20219/20219	---M--	200	added ('OK')	application/javascript	etag:%224efb-6017ab8ccfe46%22	http://localhost/joomla_music/components/com_sppagebuilder/assets/js/jquery.magnific-popup.min.js	C:/httrack/music/localhost/joomla_music/components/com_sppagebuilder/assets/js/jquery.magnific-popup.min.js	(from http://localhost/joomla_music/)
